# b6090c78-2c38-489a-9705-9f7a69b9fcd5,,
# 603fd3987364b09f9aacb70d1ed12c268e24dd56,,
# s_m,x_m,y_m
20.9960914,7.3995570890917275,-22.703544421720594
21.1960542,7.508868955474251,-22.87475703694249
21.3960170,7.631237807200398,-23.06268576683745
21.5959797,7.758209587728393,-23.259274289345186
21.7959425,7.8814477180099,-23.453069230966655
21.9959053,7.998173185751159,-23.63465063198797
22.1958681,8.11134352968891,-23.802656284616425
22.3958308,8.223118865349031,-23.957063296406112
22.5957936,8.334724494530672,-24.097331567459584
22.7957564,8.448978032351834,-24.225082546334193
22.9957192,8.568019611904344,-24.342726951318777
23.1956819,8.691602689265267,-24.450143786962983
23.3956447,8.818643556468421,-24.546240262422245
23.5956075,8.948147933186744,-24.630082802014908
23.7955703,9.08225322168355,-24.70235193270481
23.9955330,9.224919532471606,-24.765381758455575
24.1954958,9.379097919973503,-24.82059378379141
24.3954586,9.546274199501662,-24.869074950965462
24.5954214,9.72595252776052,-24.91144664986813
24.7953841,9.914684688912601,-24.948233460127167
24.9953469,10.10614836534728,-24.978881267006678
25.1953097,10.291034502751454,-25.002017925438455
25.3952725,10.459618273994558,-25.014791395519055
25.5952352,10.60662650804838,-25.01542774556649
25.7951980,10.72806697127214,-25.00456749366789
25.9951608,10.81813320324239,-24.98608394291069
26.1951236,10.887962573114335,-24.958688370496745
26.3950863,10.966477743424218,-24.911513792712277
26.5950491,11.064257974345272,-24.83546904677967
26.7950119,11.180098666665124,-24.72788283834875
26.9949747,11.310982751157399,-24.592562301513755
27.1949374,11.453740264971335,-24.436989027213443
27.3949002,11.604791315059591,-24.2701132671382
27.5948630,11.759997893592779,-24.098870708330427
27.7948258,11.916362584853744,-23.927270063520947
27.9947885,12.072931321834776,-23.75605979567039
28.1947513,12.230458881300947,-23.584618081465507
28.3947141,12.389148603087714,-23.413092435174573
28.5946769,12.548957509474198,-23.241759144860232
28.7946396,12.709989851444357,-23.070719756158297
28.9946024,12.87242120690926,-22.90001946540212
29.1945652,13.036404857943166,-22.72977629288801
29.3945280,13.201746687324247,-22.56043963838577
29.5944907,13.36908188490327,-22.391344471116202
29.7944535,13.542172993386993,-22.219672733268677
29.9944163,13.725794616036449,-22.044208521306057
30.1943791,13.92328844965555,-21.866422286851908
30.3943418,14.13794877512684,-21.688959205017092
30.5943046,14.372510135362875,-21.515915826757713
30.7942674,14.627484225464015,-21.35325539484226
30.9942302,14.899490544627145,-21.20772617078947
31.1941929,15.180497223680433,-21.084977174393856
31.3941557,15.463805254318327,-20.98522061181106
31.5941185,15.748677618500686,-20.90607815972534
31.7940813,16.034960623840057,-20.845943633840218
31.9940440,16.324496229106074,-20.803508771941747
32.1940068,16.629346064152045,-20.77900425638342
32.3939696,16.9605858879263,-20.781647757169523
32.5939324,17.314406803258336,-20.825258045739897
32.7938951,17.66237293956095,-20.916758861463627
32.9938579,17.96847979348656,-21.03795403512804
33.1938207,18.230308871948278,-21.166085070032157
33.3937835,18.46382078516517,-21.29441919635178
33.5937462,18.681662001042458,-21.421937971312456
33.7937090,18.890311309151407,-21.54930708738714
33.9936718,19.090050407719705,-21.67418075906291
34.1936346,19.281779756135997,-21.794576310023746
34.3935973,19.46820159139949,-21.909667080195103
34.5935601,19.653195305457572,-22.020024686553057
34.7935229,19.839550124055997,-22.127309294983284
34.9934857,20.027467960773293,-22.231901045436363
